strategy_key,start_date,end_date,trading_days,total_return,annual_vol,max_drawdown,source_files
交易记录300,2025-01-02,2026-04-30,320,0.5741408705617232,1.189417969331167,0.0,0
交易记录etf动量轮动,2020-01-09,2026-04-30,1527,4.039794061900243,4.6936054702968955,0.0,0
交易记录军工,2020-01-02,2026-04-30,1532,0.8724790833160321,0.34927813162510013,0.0,0
交易记录双创,2021-08-02,2026-04-30,1149,2.032773967797425,0.570912347503313,0.0,0
交易记录均衡持仓,2020-01-06,2026-04-30,1530,1.0822046264586938,0.39449875020898695,0.0,0
交易记录房地产,2020-01-06,2026-04-30,1530,4.601464138414342,0.9151364384404106,0.0,0
交易记录桥水全天候,2020-01-06,2026-04-30,1530,0.4721497635768108,0.14187048804669156,0.0,0
交易记录煤炭,2025-01-06,2026-04-30,318,0.12032937242766573,0.6193707038610551,0.0,0
交易记录科创,2021-08-02,2026-04-30,1149,0.47660007266071136,1.0058142068520903,0.0,0
交易记录锤子策略,2020-01-02,2026-04-30,1532,1.922086912829236,0.7653805705456194,0.0,0
交易记录食品,2025-01-06,2026-04-30,318,79.1654625222713,3.9189941153342156,0.0,0
