pool,period,ann_excess,ir,block_wr,max_dd
MTM-unfiltered,T0(2020+),+652.90%,2.061,61.3%,81.67%
MTM-unfiltered,T1(2024+),+1066.09%,3.789,60.0%,50.20%
MTM-unfiltered,T2(2025+),+1345.18%,4.093,58.8%,47.79%
MTM-unfiltered,T3(2026+),-29.92%,-0.508,25.0%,25.50%
MTM-filtered,T0(2020+),-6.24%,-0.123,51.2%,56.13%
MTM-filtered,T1(2024+),-21.77%,-0.366,40.0%,56.13%
MTM-filtered,T2(2025+),-26.70%,-0.515,29.4%,47.61%
MTM-filtered,T3(2026+),-61.04%,-1.401,0.0%,30.42%
MTM-unfiltered+ETF,T0(2020+),+685.58%,2.645,65.9%,55.58%
MTM-unfiltered+ETF,T1(2024+),+529.93%,2.487,63.3%,45.43%
MTM-unfiltered+ETF,T2(2025+),+80.32%,0.373,64.7%,43.28%
MTM-unfiltered+ETF,T3(2026+),-19.95%,-0.146,50.0%,43.28%
MTM-filtered+ETF,T0(2020+),+9.32%,0.192,52.4%,58.88%
MTM-filtered+ETF,T1(2024+),+17.37%,0.367,53.3%,28.32%
MTM-filtered+ETF,T2(2025+),+3.03%,0.069,52.9%,27.06%
MTM-filtered+ETF,T3(2026+),-29.24%,-0.861,50.0%,22.44%
