pool,period,ann_excess,ir,block_wr,max_dd
MTM-unfiltered,T0(2020+),+170.07%,0.895,54.6%,88.34%
MTM-unfiltered,T1(2024+),+89.52%,0.544,50.0%,75.20%
MTM-unfiltered,T2(2025+),+112.10%,0.579,55.9%,75.20%
MTM-unfiltered,T3(2026+),+76.77%,0.452,37.5%,32.25%
MTM-filtered,T0(2020+),+28.92%,0.315,50.3%,51.70%
MTM-filtered,T1(2024+),+19.59%,0.329,50.0%,39.47%
MTM-filtered,T2(2025+),+39.52%,0.825,55.9%,17.50%
MTM-filtered,T3(2026+),-21.24%,-0.629,50.0%,16.59%
MTM-unfiltered+ETF,T0(2020+),+1490.98%,3.931,57.0%,76.00%
MTM-unfiltered+ETF,T1(2024+),+905.14%,2.496,53.3%,60.32%
MTM-unfiltered+ETF,T2(2025+),+1146.86%,2.551,70.6%,60.32%
MTM-unfiltered+ETF,T3(2026+),+77.25%,0.440,75.0%,35.75%
MTM-filtered+ETF,T0(2020+),+39.91%,0.405,53.9%,44.33%
MTM-filtered+ETF,T1(2024+),+19.28%,0.324,50.0%,39.47%
MTM-filtered+ETF,T2(2025+),+38.88%,0.812,55.9%,17.50%
MTM-filtered+ETF,T3(2026+),-21.24%,-0.629,50.0%,16.59%
