feature,importance
margin_chg_20d,0.17665915
skew_60d,0.1110117
pmi_mfg,0.09683767
max_dd_60d,0.08348542
momentum_20d,0.08031215
momentum_60d,0.079082094
vol_20d,0.06591538
vol_60d,0.06573405
ppi_yoy,0.038810663
kurt_60d,0.037487783
realized_vol_20d,0.0276927
yield_10y,0.022423374
m2_yoy,0.022417905
yield_slope,0.0210051
ret_ZZ500,0.01815667
sent_momentum,0.011130255
cpi_yoy,0.00729474
northbound_5d,0.0067537
sector_rotation,0.0058063692
vol_ratio_500_300,0.0050939196
ret_CYB,0.0050405352
industry_dispersion,0.0030501357
ret_HS300,0.0028453865
turnover_chg,0.0025186099
size_style,0.0020628278
growth_style,0.0013717157
