decision_date,n_strategies,n_significant,mean_t_stat
2016-03-04,5,2,2.6125641452713046
2016-03-07,5,1,2.3325979431956876
2016-03-08,5,1,2.0684914520541327
2016-03-09,5,1,1.9573632363756175
2016-03-10,5,1,1.8573665590960045
2016-03-11,5,1,1.8096910763155225
2016-03-14,5,2,1.791360827470644
2016-03-15,5,2,1.5542011820500714
2016-03-16,5,2,1.559365850907787
2016-03-17,5,2,1.354425918404338
2016-03-18,5,2,1.2508547209103227
2016-03-21,5,2,1.0092816267600055
2016-03-22,5,2,0.732201233285527
2016-03-23,5,2,0.635879422724665
2016-03-24,5,2,0.5908830050263362
2016-03-25,5,2,0.32950637705851243
2016-03-28,5,2,0.06737002682646398
2016-03-29,5,2,0.04517326839936365
2016-03-30,5,2,-0.06360457615637691
2016-03-31,5,2,-0.05003857095148216
2016-04-01,5,1,-0.03965972020745716
2016-04-04,5,1,-0.00336516109216759
2016-04-05,5,1,0.11154285902798
2016-04-06,5,1,0.06586706793450145
2016-04-07,5,1,0.22260720572568404
2016-04-08,5,1,0.21355448550695427
2016-04-11,5,0,0.345148464872843
2016-04-12,5,0,0.26703921996945457
2016-04-13,5,0,0.3427018813041755
2016-04-14,5,0,0.36138793986003254
2016-04-15,5,0,0.39595184602797856
2016-04-18,5,0,0.2893895173537861
2016-04-19,5,0,0.33636172826865174
2016-04-20,5,0,0.13330257100113765
2016-04-21,5,0,0.15352562325488245
2016-04-22,5,0,0.09331625594140318
2016-04-25,5,2,0.18212632841280502
2016-04-26,5,2,0.0026344663333803366
2016-04-27,5,3,0.20371889674326
2016-04-28,5,2,0.03576739431286633
2016-04-29,5,2,0.1793298799285333
2016-05-02,5,3,0.3342879512106789
2016-05-03,5,3,0.5662041180017822
2016-05-04,5,3,0.8999445366616599
2016-05-05,5,3,1.0895821708762057
2016-05-06,5,2,0.980586299407116
2016-05-09,5,2,0.9800907445284974
2016-05-10,5,2,0.884589090704992
2016-05-11,5,2,0.9510179931418474
2016-05-12,5,3,0.9362375911864763
2016-05-13,5,2,0.8002477433352191
2016-05-16,5,2,0.6712279304979516
2016-05-17,5,2,0.48276272093858796
2016-05-18,5,2,0.5502198103667766
2016-05-19,5,0,0.6332180918787521
2016-05-20,5,0,0.5713698389735422
2016-05-23,5,0,0.678245433346779
2016-05-24,5,0,0.6152351684440418
2016-05-25,5,0,0.6435856500409901
2016-05-26,5,2,0.6754463386209381
2016-05-27,5,2,0.7571738727127297
2016-05-30,5,2,0.9005208197027817
2016-05-31,5,2,0.9698272150735251
2016-06-01,5,2,0.8068496402257648
2016-06-02,5,2,0.7243773303543067
2016-06-03,5,2,0.7859454176882584
2016-06-06,5,2,0.708023873247097
2016-06-07,5,2,0.6887911981094096
2016-06-08,5,1,0.6992411757723476
2016-06-09,5,0,0.6448345212013606
2016-06-10,5,0,0.536987761540759
2016-06-13,5,0,0.5673231036920624
2016-06-14,5,0,0.5509208083768385
2016-06-15,5,0,0.4800388961732467
2016-06-16,5,1,0.5510209931783014
2016-06-17,5,1,0.6580457350051884
2016-06-20,5,2,0.9157806769612936
2016-06-21,5,2,1.1794299443604401
2016-06-22,5,2,1.4162099176831118
2016-06-23,5,2,1.4638639592352334
2016-06-24,5,2,1.804914337379183
2016-06-27,5,2,1.8117058038308684
2016-06-28,5,2,1.9727597930347922
2016-06-29,5,2,2.0971856701059837
2016-06-30,5,2,2.387267626974319
2016-07-01,5,2,2.0635298613508226
2016-07-04,5,2,1.8277763677210257
2016-07-05,5,2,1.8277763677210257
2016-07-06,5,2,1.5688093586164444
2016-07-07,5,2,1.2047061193090374
2016-07-08,5,2,1.0479990617326642
2016-07-11,5,2,0.9004623303331976
2016-07-12,5,2,0.7327134756705187
2016-07-13,5,2,0.4253887463775515
2016-07-14,5,2,0.3481558232229901
2016-07-15,5,2,0.25088209368515496
2016-07-18,5,2,0.49002002176599807
2016-07-19,5,2,0.2675945674635937
2016-07-20,5,2,0.39732938694056386
2016-07-21,5,2,0.39732938694056374
2016-07-22,5,2,0.48404714582601327
2016-07-25,5,2,0.6510783280845105
2016-07-26,5,2,0.5231165582116384
2016-07-27,5,2,0.5231165582116383
2016-07-28,5,2,0.5314929796035373
2016-07-29,5,2,0.396814872121506
2016-08-01,5,2,0.6464701809507808
2016-08-02,5,2,0.6464701809507808
2016-08-03,5,2,0.8009099645690239
2016-08-04,5,2,0.7757992024986529
2016-08-05,5,2,1.0718737652668406
2016-08-08,5,2,1.071873765266841
