strategy_key,auc,accuracy,n,pos_ratio
交易记录双创,0.6044387768245871,0.6475869809203143,891,0.3052749719416386
交易记录形态,0.5799681968447922,0.9517241379310345,1305,0.03601532567049808
交易记录军工,0.5713116173055006,0.5513803680981595,1304,0.3880368098159509
医疗etf增强,0.5682138688971017,0.7352647352647352,1001,0.23176823176823177
交易记录百亿etf一只,0.5590802282645183,0.5682515337423313,1304,0.36273006134969327
交易记录均衡持仓,0.5466737410765965,0.6595092024539877,1304,0.3266871165644172
交易记录全球etf,0.5330305284884558,0.7093558282208589,1304,0.29524539877300615
交易记录百亿etf两只,0.5299773755656109,0.7147239263803681,1304,0.22315950920245398
交易记录游戏,0.5169193391642372,0.7530674846625767,1304,0.20705521472392638
交易记录杠铃,0.5066215356257269,0.5920245398773006,1304,0.3558282208588957
交易记录1000,0.5032544487250046,0.6142638036809815,1304,0.3496932515337423
交易记录动量趋势,0.49542704375967356,0.5478927203065134,261,0.4674329501915709
交易记录申万动量,0.4807287443633622,0.5283742331288344,1304,0.40950920245398775
交易记录锤子策略,0.4795019369120088,0.5881901840490797,1304,0.34662576687116564
交易记录综合拆分2,0.4772353919216256,0.5019206145966709,781,0.614596670934699
交易记录行业,0.47500398819494305,0.5006402048655569,781,0.615877080665813
交易记录综合拆分1,0.47278554953119845,0.499359795134443,781,0.617157490396927
交易记录etf动量改,0.47076855485326863,0.499359795134443,781,0.617157490396927
交易记录科创,0.46522947489256933,0.5589225589225589,891,0.40404040404040403
交易记录房地产,0.46457981688916167,0.6319018404907976,1304,0.34355828220858897
交易记录旅游,0.4603257937028773,0.5437116564417178,1304,0.370398773006135
交易记录酒,0.45684932081518953,0.629601226993865,1304,0.2791411042944785
交易记录桥水全天候,0.4501674061940292,0.7346625766871165,1304,0.2476993865030675
交易记录国企,0.44111836800516047,0.5897239263803681,1304,0.3397239263803681
交易记录800,0.43872937293729375,0.5307101727447217,1042,0.3963531669865643
交易记录创业板,0.43720843355929734,0.6434049079754601,1304,0.26380368098159507
交易记录通信,0.426672115888523,0.5858895705521472,1304,0.31901840490797545
交易记录中证2000,0.39529073288915806,0.9144542772861357,339,0.0855457227138643
