strategy_key,state,state_label,n_days,cum_return,ann_vol,max_drawdown,sharpe,excess_return,win_rate
交易记录科创,0,高波震荡,72,0.7538313691815604,3.151879488869732,-0.681727885197002,2.178052015378493,0.5137327244871717,0.1388888888888889
交易记录1000,0,高波震荡,129,0.3838248806852682,2.822580891410338,-0.7168475928899307,1.625618856897691,0.21742197154348308,0.10852713178294573
交易记录杠铃,0,高波震荡,129,0.35528031785549974,2.7270659326448863,-0.5733458909285467,1.586037741422184,0.1888774087137146,0.11627906976744186
交易记录申万动量,0,高波震荡,129,0.24367363169956002,2.7487006306737047,-0.7903504431471824,1.5851280880342613,0.0772707225577749,0.13178294573643412
交易记录旅游,0,高波震荡,129,-0.10971507767197053,3.1616299045613534,-0.8076207254740598,1.5231588280697808,-0.27611798681375566,0.11627906976744186
交易记录中证2000,0,高波震荡,72,-0.9127709656502079,5.403268114719946,-0.9641948858717226,1.333016876169869,-1.1528696103445966,0.3611111111111111
交易记录创业板,0,高波震荡,129,-0.5468705519896975,3.2615862737709653,-0.9418493421855814,1.2699972318197181,-0.7132734611314826,0.12403100775193798
交易记录百亿etf两只,0,高波震荡,129,-0.989678848356164,5.147799930180244,-0.9985384863408927,1.0740554863636083,-1.1560817574979492,0.4263565891472868
交易记录百亿etf一只,0,高波震荡,129,-0.8628470526474649,3.45511045433691,-0.9390431345099844,0.6925425024924526,-1.02924996178925,0.14728682170542637
交易记录锤子策略,0,高波震荡,129,-0.6420970173092143,2.5668532505586223,-0.7856587604373919,0.6167759236293777,-0.8084999264509994,0.3333333333333333
交易记录游戏,0,高波震荡,129,-0.8840562947499776,3.3930592978434366,-0.9289812627401861,0.6164959367313187,-1.0504592038917626,0.10852713178294573
交易记录800,0,高波震荡,81,-0.6024441484863174,2.7596594071084195,-0.7349627656575449,0.44704937717057136,-0.7728202251083403,0.1111111111111111
交易记录均衡持仓,0,高波震荡,129,-0.918475510246446,3.1722371695888816,-0.9510797610139984,0.2166613550501355,-1.084878419388231,0.10077519379844961
医疗etf增强,0,高波震荡,72,-0.7306890636169765,2.9472665469733856,-0.8292113263354646,0.06250981734497284,-0.9707877083113652,0.16666666666666666
交易记录动量趋势,0,高波震荡,72,0.0,0.0,0.0,0.0,-0.24009864469438869,0.0
交易记录综合拆分1,0,高波震荡,72,0.0,0.0,0.0,0.0,-0.24009864469438869,0.0
交易记录etf动量改,0,高波震荡,72,0.0,0.0,0.0,0.0,-0.24009864469438869,0.0
交易记录行业,0,高波震荡,72,0.0,0.0,0.0,0.0,-0.24009864469438869,0.0
交易记录综合拆分2,0,高波震荡,72,0.0,0.0,0.0,0.0,-0.24009864469438869,0.0
交易记录国企,0,高波震荡,129,-0.9448979175377237,3.082039165018507,-0.9265305567169648,-0.07439833286992896,-1.1113008266795088,0.10077519379844961
交易记录桥水全天候,0,高波震荡,129,-0.8603930277139651,2.497988936953903,-0.9372755596667949,-0.11952212919141444,-1.0267959368557502,0.08527131782945736
交易记录军工,0,高波震荡,129,-0.8366523626613991,2.3666909154228875,-0.8824613049472827,-0.17580255703103587,-1.0030552718031842,0.10077519379844961
交易记录全球etf,0,高波震荡,129,-0.9159845954665773,2.7050550277724534,-0.9786359526360883,-0.21408541377395987,-1.0823875046083624,0.06976744186046512
交易记录通信,0,高波震荡,129,-0.9708537270944646,3.229917173063096,-0.981315314137961,-0.2669182496770621,-1.1372566362362497,0.09302325581395349
交易记录酒,0,高波震荡,129,-0.9832626720024578,3.2157043457167114,-0.9888417813349718,-0.6169905550953664,-1.1496655811442429,0.10077519379844961
交易记录房地产,0,高波震荡,129,-0.9750349060034728,3.001737154996058,-0.9748895308432302,-0.7096097222580118,-1.1414378151452578,0.06976744186046512
交易记录双创,0,高波震荡,72,-0.7142226300305986,2.211097785226563,-0.8729878355691549,-0.8595408179964765,-0.9543212747249873,0.05555555555555555
交易记录形态,0,高波震荡,129,-0.999999980315866,5.766738477016583,-0.999999973754488,-2.4523712529601167,-1.1664028894576512,0.27906976744186046
交易记录800,1,持续阴跌,357,-0.8366960390349452,2.7043018871648687,-0.8933792845682373,0.9630961887207878,-0.4712350908058015,0.10644257703081232
交易记录申万动量,1,持续阴跌,357,-0.8963327392271434,2.589118451604179,-0.9354661665654799,0.7937433226735037,-0.5308717909979997,0.08403361344537816
交易记录百亿etf两只,1,持续阴跌,357,-0.9999499382836438,4.351723956784983,-0.9999939087812344,0.7652954108442952,-0.6344889900545001,0.43137254901960786
交易记录房地产,1,持续阴跌,357,-0.970766027546471,2.703441474132569,-0.9879791466545993,0.5657272336867937,-0.6053050793173274,0.10084033613445378
医疗etf增强,1,持续阴跌,357,-0.9806285611925745,2.7579461223345456,-0.9926807615000925,0.48324453144717006,-0.6151676129634308,0.30532212885154064
交易记录酒,1,持续阴跌,357,-0.9955295573498918,3.1015032272764236,-0.9988323396829577,0.48095293643222814,-0.6300686091207481,0.09523809523809523
交易记录1000,1,持续阴跌,357,-0.9800378958376668,2.7366309409887473,-0.9954215902818306,0.47247745530339935,-0.6145769476085231,0.09803921568627451
交易记录中证2000,1,持续阴跌,229,-0.9999974232147276,5.438881209442004,-0.9999981797627079,0.43611830274356217,-0.7643992514328388,0.35807860262008734
